p (r/min),w (rad/s)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.055,0.0010472
0.00916667,0.000174533
0.375833,0.00715585
0.6875,0.01309
0,0
-0.77,-0.0146608
1.98,0.0376991
-0.935,-0.0178024
-1.22833,-0.0233874
2.18167,0.0415388
-0.715,-0.0136136
-1.155,-0.0219911
2.15417,0.0410152
-1.53083,-0.029147
0.595833,0.0113446
-0.916667,-0.0174533
0.1925,0.00366519
2.38333,0.0453786
-1.49417,-0.0284489
0.623333,0.0118682
0.339167,0.00645772
-1.41167,-0.0268781
2.76833,0.0527089
-2.2825,-0.0434587
0.559167,0.0106465
-1.045,-0.0198968
-0.999167,-0.0190241
1.47583,0.0280998
-0.751667,-0.0143117
1.54917,0.0294961
-2.23667,-0.042586
0.495,0.00942478
0.495,0.00942478
0.2475,0.00471239
1.77833,0.0338594
-0.669167,-0.0127409
-0.669167,-0.0127409
-0.650833,-0.0123918
1.52167,0.0289725
-0.935,-0.0178024
1.7325,0.0329867
-1.43,-0.0272271
0.889167,0.0169297
-0.476667,-0.00907571
-0.33,-0.00628319
0.531667,0.0101229
-1.22833,-0.0233874
2.5575,0.0486947
-0.201667,-0.00383972
2.0625,0.0392699
-0.055,-0.0010472
1.595,0.0303687
1.595,0.0303687
-0.366667,-0.00698132
-0.174167,-0.00331613
0.265833,0.00506145
-0.449167,-0.00855211
-0.0916667,-0.00174533
1.8425,0.0350811
-1.90667,-0.0363028
-1.90667,-0.0363028
-1.69583,-0.0322886
1.375,0.0261799
-1.88833,-0.0359538
-1.88833,-0.0359538
-2.16333,-0.0411898
2.41083,0.0459022
-1.68667,-0.0321141
2.31,0.0439823
-1.79667,-0.0342085
-1.79667,-0.0342085
-1.6775,-0.0319395
-1.6775,-0.0319395
-1.87,-0.0356047
-0.1375,-0.00261799
-0.119167,-0.00226893
-0.119167,-0.00226893
-1.13667,-0.0216421
-0.935,-0.0178024
-0.1925,-0.00366519
-1.8975,-0.0361283
1.86083,0.0354302
-1.6775,-0.0319395
2.48417,0.0472984
-0.99,-0.0188496
-0.99,-0.0188496
0.1925,0.00366519
6.50833,0.123918
